	Sentence_A	Sentence_B	origin	frequency	freq_cat	pair_id	rating_anticonic_causal	rating_iconic_causal	rating_anticonic_temporal	rating_iconic_temporal	human_preferred_connective	human_preferred_connective_desc	human_preferred_connective_unrel	relation_human	order_human	condition_human	additional_dimension	connected_sent	tested_order	tested_relation	tested_connective
0	The man turned up the music late at night.	The man wanted to listen to the new album of his favourite rock band.	origin	0	1_rare	0	7.0	2.4	6.533333333333333	5.2	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	The man turned up the music late at night, after the man wanted to listen to the new album of his favourite rock band.	B,A	Temporal	after
1	The man turned up the music late at night.	The man wanted to listen to the new album of his favourite rock band.	origin	0	1_rare	0	7.0	2.4	6.533333333333333	5.2	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	The man turned up the music late at night, then the man wanted to listen to the new album of his favourite rock band.	A,B	Temporal	then
2	The man turned up the music late at night.	The man wanted to listen to the new album of his favourite rock band.	origin	0	1_rare	0	7.0	2.4	6.533333333333333	5.2	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	The man turned up the music late at night, because the man wanted to listen to the new album of his favourite rock band.	B,A	Causal	because
3	The man turned up the music late at night.	The man wanted to listen to the new album of his favourite rock band.	origin	0	1_rare	0	7.0	2.4	6.533333333333333	5.2	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	The man turned up the music late at night, so the man wanted to listen to the new album of his favourite rock band.	A,B	Causal	so
16	The man wanted to listen to the new album of his favourite rock band.	The man turned up the music late at night.	origin	1	1_rare	0	2.7333333333333334	5.866666666666666	3.533333333333333	5.466666666666667	so	iconic_caus	other	no_rel	none	Unrelated	socially_challenging	The man wanted to listen to the new album of his favourite rock band, after the man turned up the music late at night.	B,A	Temporal	after
17	The man wanted to listen to the new album of his favourite rock band.	The man turned up the music late at night.	origin	1	1_rare	0	2.7333333333333334	5.866666666666666	3.533333333333333	5.466666666666667	so	iconic_caus	other	no_rel	none	Unrelated	socially_challenging	The man wanted to listen to the new album of his favourite rock band, so the man turned up the music late at night.	A,B	Causal	so
18	The man wanted to listen to the new album of his favourite rock band.	The man turned up the music late at night.	origin	1	1_rare	0	2.7333333333333334	5.866666666666666	3.533333333333333	5.466666666666667	so	iconic_caus	other	no_rel	none	Unrelated	socially_challenging	The man wanted to listen to the new album of his favourite rock band, because the man turned up the music late at night.	B,A	Causal	because
19	The man wanted to listen to the new album of his favourite rock band.	The man turned up the music late at night.	origin	1	1_rare	0	2.7333333333333334	5.866666666666666	3.533333333333333	5.466666666666667	so	iconic_caus	other	no_rel	none	Unrelated	socially_challenging	The man wanted to listen to the new album of his favourite rock band, then the man turned up the music late at night.	A,B	Temporal	then
32	Sarah does not like to eat junk food.	Sarah is likely to throw away a bag of chips offered by her friend.	origin	81	3_common	1	3.2	8.0	2.2	4.333333333333333	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Sarah does not like to eat junk food, after Sarah is likely to throw away a bag of chips offered by her friend.	B,A	Temporal	after
33	Sarah does not like to eat junk food.	Sarah is likely to throw away a bag of chips offered by her friend.	origin	81	3_common	1	3.2	8.0	2.2	4.333333333333333	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Sarah does not like to eat junk food, because Sarah is likely to throw away a bag of chips offered by her friend.	B,A	Causal	because
34	Sarah does not like to eat junk food.	Sarah is likely to throw away a bag of chips offered by her friend.	origin	81	3_common	1	3.2	8.0	2.2	4.333333333333333	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Sarah does not like to eat junk food, then Sarah is likely to throw away a bag of chips offered by her friend.	A,B	Temporal	then
35	Sarah does not like to eat junk food.	Sarah is likely to throw away a bag of chips offered by her friend.	origin	81	3_common	1	3.2	8.0	2.2	4.333333333333333	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Sarah does not like to eat junk food, so Sarah is likely to throw away a bag of chips offered by her friend.	A,B	Causal	so
48	Sarah is likely to throw away a bag of chips offered by her friend.	Sarah does not like to eat junk food.	origin	408	3_common	1	8.466666666666667	2.6666666666666665	2.1333333333333333	3.866666666666666	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Sarah is likely to throw away a bag of chips offered by her friend, then Sarah does not like to eat junk food.	A,B	Temporal	then
49	Sarah is likely to throw away a bag of chips offered by her friend.	Sarah does not like to eat junk food.	origin	408	3_common	1	8.466666666666667	2.6666666666666665	2.1333333333333333	3.866666666666666	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Sarah is likely to throw away a bag of chips offered by her friend, because Sarah does not like to eat junk food.	B,A	Causal	because
50	Sarah is likely to throw away a bag of chips offered by her friend.	Sarah does not like to eat junk food.	origin	408	3_common	1	8.466666666666667	2.6666666666666665	2.1333333333333333	3.866666666666666	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Sarah is likely to throw away a bag of chips offered by her friend, after Sarah does not like to eat junk food.	B,A	Temporal	after
51	Sarah is likely to throw away a bag of chips offered by her friend.	Sarah does not like to eat junk food.	origin	408	3_common	1	8.466666666666667	2.6666666666666665	2.1333333333333333	3.866666666666666	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Sarah is likely to throw away a bag of chips offered by her friend, so Sarah does not like to eat junk food.	A,B	Causal	so
64	The athlete was doped.	The athlete won the competition.	origin	29	2_uncommon	2	4.0	7.733333333333333	3.0	7.733333333333333	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	The athlete was doped, after the athlete won the competition.	B,A	Temporal	after
65	The athlete was doped.	The athlete won the competition.	origin	29	2_uncommon	2	4.0	7.733333333333333	3.0	7.733333333333333	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	The athlete was doped, because the athlete won the competition.	B,A	Causal	because
66	The athlete was doped.	The athlete won the competition.	origin	29	2_uncommon	2	4.0	7.733333333333333	3.0	7.733333333333333	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	The athlete was doped, so the athlete won the competition.	A,B	Causal	so
67	The athlete was doped.	The athlete won the competition.	origin	29	2_uncommon	2	4.0	7.733333333333333	3.0	7.733333333333333	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	The athlete was doped, then the athlete won the competition.	A,B	Temporal	then
80	The athlete won the competition.	The athlete was doped.	origin	20	2_uncommon	2	7.0	2.1333333333333333	4.866666666666666	3.533333333333333	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	The athlete won the competition, so the athlete was doped.	A,B	Causal	so
81	The athlete won the competition.	The athlete was doped.	origin	20	2_uncommon	2	7.0	2.1333333333333333	4.866666666666666	3.533333333333333	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	The athlete won the competition, because the athlete was doped.	B,A	Causal	because
82	The athlete won the competition.	The athlete was doped.	origin	20	2_uncommon	2	7.0	2.1333333333333333	4.866666666666666	3.533333333333333	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	The athlete won the competition, then the athlete was doped.	A,B	Temporal	then
83	The athlete won the competition.	The athlete was doped.	origin	20	2_uncommon	2	7.0	2.1333333333333333	4.866666666666666	3.533333333333333	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	The athlete won the competition, after the athlete was doped.	B,A	Temporal	after
96	John copied the test of the best student.	John got an A on the test.	origin	61	3_common	3	2.533333333333333	8.533333333333333	2.8666666666666667	8.333333333333334	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	John copied the test of the best student, after John got an a on the test.	B,A	Temporal	after
97	John copied the test of the best student.	John got an A on the test.	origin	61	3_common	3	2.533333333333333	8.533333333333333	2.8666666666666667	8.333333333333334	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	John copied the test of the best student, because John got an a on the test.	B,A	Causal	because
98	John copied the test of the best student.	John got an A on the test.	origin	61	3_common	3	2.533333333333333	8.533333333333333	2.8666666666666667	8.333333333333334	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	John copied the test of the best student, so John got an a on the test.	A,B	Causal	so
99	John copied the test of the best student.	John got an A on the test.	origin	61	3_common	3	2.533333333333333	8.533333333333333	2.8666666666666667	8.333333333333334	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	John copied the test of the best student, then John got an a on the test.	A,B	Temporal	then
112	John got an A on the test.	John copied the test of the best student.	origin	111	3_common	3	8.666666666666666	1.933333333333333	9.066666666666666	2.4	after	anticonic_temp	after	Temporal	B,A	Temporal-B,A	socially_challenging	John got an a on the test, because John copied the test of the best student.	B,A	Causal	because
113	John got an A on the test.	John copied the test of the best student.	origin	111	3_common	3	8.666666666666666	1.933333333333333	9.066666666666666	2.4	after	anticonic_temp	after	Temporal	B,A	Temporal-B,A	socially_challenging	John got an a on the test, then John copied the test of the best student.	A,B	Temporal	then
114	John got an A on the test.	John copied the test of the best student.	origin	111	3_common	3	8.666666666666666	1.933333333333333	9.066666666666666	2.4	after	anticonic_temp	after	Temporal	B,A	Temporal-B,A	socially_challenging	John got an a on the test, so John copied the test of the best student.	A,B	Causal	so
115	John got an A on the test.	John copied the test of the best student.	origin	111	3_common	3	8.666666666666666	1.933333333333333	9.066666666666666	2.4	after	anticonic_temp	after	Temporal	B,A	Temporal-B,A	socially_challenging	John got an a on the test, after John copied the test of the best student.	B,A	Temporal	after
128	The girl had not done her homework.	The girl skipped school.	origin	138	3_common	4	6.266666666666667	8.133333333333333	5.8	5.333333333333333	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	The girl had not done her homework, because the girl skipped school.	B,A	Causal	because
129	The girl had not done her homework.	The girl skipped school.	origin	138	3_common	4	6.266666666666667	8.133333333333333	5.8	5.333333333333333	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	The girl had not done her homework, so the girl skipped school.	A,B	Causal	so
130	The girl had not done her homework.	The girl skipped school.	origin	138	3_common	4	6.266666666666667	8.133333333333333	5.8	5.333333333333333	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	The girl had not done her homework, then the girl skipped school.	A,B	Temporal	then
131	The girl had not done her homework.	The girl skipped school.	origin	138	3_common	4	6.266666666666667	8.133333333333333	5.8	5.333333333333333	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	The girl had not done her homework, after the girl skipped school.	B,A	Temporal	after
